,word,adult_definition,kids_definition,simplified,similarity
0,acidity,'The state of being acid that is of being capable of transferring a hydrogen ion in solution.','the state of having a bitter sharp taste or of containing acid',The taste is bitter and sharp or it is acidic.,0.68779826
1,actinium,'A radioactive element of the actinide series occurring as a decay product of uranium. It is used as an alpha particle source and in neutron production.','a chemical element. Actinium is a radioactive metal.',A special metal is called Actinium. It is bad for us.,0.7830931
2,adhesive,'Substance used for sticking objects together.','a substance that you use to make things stick together',"'a thing that makes things stick together' using the following words from the prioritize word list: thing, makes, stick, together.",0.7454805
3,advice,Official notice opinion counsel or recommendation that is optional or at the receiver's discretion.,'an opinion or a suggestion about what somebody should do in a particular situation',Giving advice is saying what someone should do in a situation.,0.8187398
4,aeration,'Exposition to the action of air.','the process of making it possible for air to become mixed with soil water etc.',The process of mixing air with water in soil.,0.89154273
5,agriculture,'The production of plants and animals useful to man involving soil cultivation and the breeding and management of crops and livestock.','the science or practice of farming',the practice of farming.,0.7515982
6,agrochemical,'Any substance or mixture of substances used or intended to be used for preventing destroying repelling attracting inhibiting or controlling any insects rodents birds nematodes bacteria fungi weeds or other forms of plant animal or microbial life regarded as pests.','any chemical used in farming especially for killing insects or for making plants grow better',A special liquid used in farming to kill bugs or help plants grow.,0.84010875
7,agroforestry,'The interplanting of farm crops and trees especially leguminous species. In semiarid regions and on denuded hillsides agroforestry helps control erosion and restores soil fertility as well as supplying valuable food and commodities at the same time.','farming that includes growing trees to produce wood','growing trees to get wood' ,0.82999074
8,aircraft,'A vehicle designed to be supported by the air either by the dynamic action of the air upon the surfaces of the structure or object or by its own buoyancy.','any vehicle that can fly and carry goods or passengers',A flying vehicle for goods or people.,0.7876503
9,algicide,'Any substance or chemical applied to kill or control algal growth.','a substance that kills algae',a substance that kills tiny water plants.,0.83797354
10,allergen,'Any antigen such as pollen a drug or food that induces an allergic state in humans or animals.','a substance that causes an allergy',An allergy substance.,0.7746386
11,allergy,'A condition of abnormal sensitivity in certain individuals to contact with substances such as proteins pollens bacteria and certain foods. This contact may result in exaggerated physiologic responses such as hay fever asthma and in severe enough situations anaphylactic shock.','a medical condition that causes you to react badly or feel ill when you eat or touch a particular substance',a sickness that makes you feel bad when you eat or touch something.,0.83905745
12,alloy,'Any of a large number of substances having metallic properties and consisting of two or more elements; with few exceptions the components are usually metallic elements.','a metal that is formed by mixing two types of metal together or by mixing metal with another substance',A metal that is made by mixing two kinds of metal or metal with something else.,0.90128833
13,alumina,'A natural or synthetic oxide of aluminum widely distributed in nature often found as a constituent part of clays feldspars micas and other minerals and as a major component of bauxite.','a white substance found in many types of rock especially clay',"A white thing is found in many rocks, especially clay.",0.8069173
14,alveolus,'A tiny thin-walled capillary-rich sac in the lungs where the exchange of oxygen and carbon dioxide takes place.','one of the many small spaces in each lung where gases can pass into or out of the blood',a little space in the lung where air goes in and out of the blood.,0.8349788
15,ammonia,'A colorless gaseous alkaline compound that is very soluble in water has a characteristic pungent odour is lighter than air and is formed as a result of the decomposition of most nitrogenous organic material.','a gas with a strong smell; a clear liquid containing ammonia used as a cleaning substance',A strong-smelling gas used for cleaning.,0.830986
16,ammonium,'A positively charged polyatomic cation of the chemical formula NH4+ formed by protonation of ammonia (NH3).','an ion made from ammonia containing nitrogen and hydrogen together with another element',"A special liquid made of three elements: nitrogen, hydrogen, and one more thing.",0.7506074
17,amphibian,'A class of vertebrate animals characterized by a moist glandular skin gills at some stage of development and no amnion during the embryonic stage.','any animal that can live both on land and in water. Amphibians have cold blood and skin without scales. Frogs toads and newts are all amphibians.',"An animal that can live on land and in water is an amphibian. They have cold blood and skin without scales. Frogs, toads, and newts are amphibians.",0.9094886
18,angling,'The art or sport of catching fish with a rod and line and a baited hook or other lure such as a fly.','the art or sport of catching fish with a fishing rod',Catching fish with a rod is an art or sport.,0.802077
19,anion,'An ion that is negatively charged.','an ion with a negative electrical charge',an ion with a minus electric charge.,0.8600546
20,antagonism,'The situation in which two chemicals upon interaction interfere in such a way that the action of one partially or completely inhibits the effects of the other.','feelings of opposition and hate','hate and dislike',0.8683152
21,antibiotic,'A chemical substance produced by microorganisms and synthetically that has the capacity to inhibit the growth of and even to destroy bacteria and other microorganisms.','a substance for example penicillin that can destroy or prevent the growth of bacteria and cure infections',Penicillin is a medicine that can cure infections by killing bacteria.,0.8351588
22,antibody,'A complex protein that is produced in response to the introduction of a specific antigen into an animal. Antibodies belong to a class of proteins called immunoglobins which are formed by plasma cells in the blood as a defence mechanism against invasion by parasites notably bacteria and viruses either by killing them or rendering them harmless.','a substance that the body produces in the blood to fight disease or as a reaction when certain substances are put into the body',A substance made by the body to fight disease or because of things put in it.,0.8957454
23,aquaculture,'The cultivation and harvest of freshwater or marine animals and plants in ponds tanks cages or on protected beds.','the practice of growing plants in water or farming fish for food',Grow plants in water or farm fish for food.,0.8235978
24,aquifer,'Layers of rock sand or gravel that can absorb water and allow it to flow.','a layer of rock or soil that can take in and hold water',The ground that can hold water is called something.,0.8024572
25,arboriculture,'The planting and care of woody plants especially trees.','the study or practice of growing trees and shrubs',"""growing trees and shrubs"" (Prioritize word list: grow, trees, shrubs)",0.6406348
26,archaeology,'The scientific study of the material remains of the cultures of historical or prehistorical peoples.','the study of cultures of the past and of periods of history by examining the parts of buildings and objects found in the ground',We learn about past cultures and history by looking at old buildings and objects found underground.,0.77747715
27,arsenic,'A toxic metalloid element with symbol As and atomic number 33 existing in several allotropic forms that occurs principally in realgar and orpiment and as the free element. It is used in semiconductors lead-based alloys and high temperature brasses.','a chemical element. Arsenic is a grey metalloid (= has properties of both metals and other solid substances) and is very poisonous especially in its compound forms.',"Arsenic is a grey, poisonous metal.",0.75981253
28,asbestos,'Generic name for a group of fibrous mineral silicates.','a soft grey mineral that does not burn and can be woven into material used especially in the past in building as a protection against fire or to prevent heat loss. Asbestos is dangerous if you breathe it in.',Asbestos is a soft grey material that does not burn and was used in the past to stop fires or keep things from getting cold. But it is bad for you if you breathe it in.,0.9176202
29,astronomy,'The science concerned with celestial bodies and the observation and interpretation of the radiation received in the vicinity of the earth from the component parts of the universe.','the scientific study of the sun moon stars planets etc.',"The study of the sun, moon, stars, and planets. ",0.79202294
30,bactericide,'An agent that destroys bacteria.','a substance which is used to kill bacteria',A substance used to kill germs.,0.81454265
31,bacteriology,'The science and study of bacteria.','the scientific study of bacteria',Science about tiny living things is too hard for most people to understand.,0.62574273
32,banking,Transactional business between any bank and that bank's clients or customers.,'the business activity of banks',"'what banks do' (Prioritize words: do, banks)",0.6464483
33,barium,'A soft silvery-white metallic element of the alkaline earth group. It has the symbol Ba and atomic number 56. It is used in bearing alloys and compounds are used as pigments.','a chemical element. Barium is a soft silver-white metal',Barium is a special kind of metal.,0.82002014
34,beetle,'Any insect of the order Coleoptera having biting mouthparts and forewings modified to form shell-like protective elytra.','an insect often large and black with a hard case on its back covering its wings. There are several types of beetle.',A beetle is a big black insect with a hard cover on its back and wings underneath.,0.8791517
35,benzene,'A colorless liquid flammable aromatic hydrocarbon used to manufacture styrene and phenol. Also known as benzol.','a clear liquid obtained from petroleum and coal tar used in making plastics and many chemical products','a liquid from petroleum and coal tar used for making plastics and chemicals',0.97015864
36,beryllium,'A corrosion-resistant toxic silvery-white metallic element that occurs chiefly in beryl and is used mainly in x-ray windows and in the manufacture of alloys. Symbol: Be atomic number: 4.','a chemical element. Beryllium is a hard grey metal found mainly in the mineral beryl.',Beryllium is a hard grey metal.,0.8018783
37,beverage,'Any one of various liquids for drinking.','any type of drink except water','any drink except water'.,0.86510515
38,bicycle,'A vehicle with two wheels in tandem pedals connected to the rear wheel by a chain handlebars for steering and a saddlelike seat.','a road vehicle with two wheels that you ride by pushing the pedals with your feet',a bicycle is a two-wheeled vehicle that you ride by pedaling with your feet.,0.84972584
39,biodiversity,'Number and variety of living organisms; includes genetic diversity species diversity and ecological diversity.','the existence of a large number of different kinds of animals and plants which make a balanced environment',Many kinds of animals and plants live together in a balanced environment.,0.82368386
40,bioethics,'The study of ethical problems arising from biological research and its applications in such fields as organ transplantation genetic engineering or artificial insemination.','the moral principles that influence research in medicine and biology','the rules that guide medical research'.,0.89875895
41,biogas,'Gas rich in methane which is produced by the fermentation of animal dung human sewage or crop residues in an air-tight container.','gas especially methane that is produced by dead plants and that can be burned to produce heat',There is a special gas called methane that comes from dead plants and gives heat when burned.,0.8693378
42,bioluminescence,'The production of light of various colors by living organisms e.g. some bacteria and fungi glow-worms and many marine animals).','the natural production of light by living creatures such as glow-worms',Animals like glowworms make light naturally.,0.8004405
43,biophysics,'The science involving the application of physical principles and methods to study and explain the structures of living organisms and the mechanics of life processes.','the science that uses the laws and methods of physics to study biology',A science that uses physics to study living things.,0.83972085
44,biorhythm,'A cyclically recurring pattern of physiological states in an organism or organ such as alpha rhythm or circadian rhythm; believed by some to affect physical and mental states and behaviour.','the changing pattern of how physical processes happen in the body which some people believe affects human behaviour','how body processes change and affect people's actions is believed by some'.,0.90779364
